day,contract_address,name,total_supply,total_stablecoin_supply
2025-06-16,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,4207628.742389164,317105678.4610648
2025-06-16,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,43062148.03287902,317105678.4610648
2025-06-16,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-16,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,12981845.102974001,317105678.4610648
2025-06-16,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-16,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12164305.334984995,317105678.4610648
2025-06-16,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2480331.1307771127,317105678.4610648
2025-06-16,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73398903.00294474,317105678.4610648
2025-06-16,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-16,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,845880.4794380001,317105678.4610648
2025-06-15,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-15,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1160412.2687060002,317105678.4610648
